ds,y
2017-01-28 ,0.5422587883
2017-01-29 ,0.5744203441
2017-01-30 ,2.15407629
2017-01-31 ,1.982797307
2017-02-01 ,1.789827973
2017-02-02 ,2.15407629
2017-02-03 ,1.805534779
2017-02-04 ,0.5841436051
2017-02-05 ,0.5332834705
2017-02-06 ,2.187733732
2017-02-07 ,2.197456993
2017-02-08 ,2.246821242
2017-02-09 ,1.90276739
2017-02-10 ,1.661929693
2017-02-11 ,0.5818997756
2017-02-12 ,0.6335078534
2017-02-13 ,2.204936425
2017-02-14 ,2.098728497
2017-02-15 ,2.235602094
2017-02-16 ,2.12789828
2017-02-17 ,1.542258788
2017-02-18 ,0.6192969334
2017-02-19 ,0.6469708302
2017-02-20 ,2.075542259
2017-02-21 ,2.463724757
2017-02-22 ,2.258788332
2017-02-23 ,2.127150337
2017-02-24 ,1.808526552
2017-02-25 ,0.6462228871
2017-02-26 ,0.6709050112
2017-02-27 ,2.385938669
2017-02-28 ,2.382198953
2017-03-01 ,2.420344054
2017-03-02 ,2.305908751
2017-03-03 ,2
2017-03-04 ,0.8032909499
2017-03-05 ,0.7920718025
2017-03-06 ,2.544951384
2017-03-07 ,2.607778609
2017-03-08 ,2.529020194
2017-03-09 ,2.567464473
2017-03-10 ,2.261555722
2017-03-11 ,0.7584143605
2017-03-12 ,0.7636499626
2017-03-13 ,2.600598355
2017-03-14 ,2.551982049
2017-03-15 ,2.688107704
2017-03-16 ,2.479431563
2017-03-17 ,2.264397906
2017-03-18 ,0.6768885565
2017-03-19 ,0.6970830217
2017-03-20 ,2.737546746
2017-03-21 ,2.89154824
2017-03-22 ,2.778489155
2017-03-23 ,2.984218399
2017-03-24 ,2.0710546
2017-03-25 ,0.7890800299
2017-03-26 ,0.8414360509
2017-03-27 ,3.050112191
2017-03-28 ,2.992520568
2017-03-29 ,2.78908003
2017-03-30 ,2.560209424
2017-03-31 ,2.047868362
2017-04-01 ,0.7015706806
2017-04-02 ,0.7584143605
2017-04-03 ,2.524308153
2017-04-04 ,3.010471204
2017-04-05 ,2.77262528
2017-04-06 ,2.588631264
2017-04-07 ,2.215407629
2017-04-08 ,0.8092744951
2017-04-09 ,0.794315632
2017-04-10 ,2.967090501
2017-04-11 ,3.059087509
2017-04-12 ,2.884816754
2017-04-13 ,2.495886313
2017-04-14 ,1.764397906
2017-04-15 ,0.5946148093
2017-04-16 ,0.5385190726
2017-04-17 ,2.786088257
2017-04-18 ,3.108451758
2017-04-19 ,2.949887809
2017-04-20 ,2.77486911
2017-04-21 ,2.252056844
2017-04-22 ,0.7823485415
2017-04-23 ,0.8197456993
